xflr5 v6.61
SD6060-104-88-MP
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =  -3.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.264     0.170     0.858     0.911
 0.9971    0.249     0.163     0.867     0.915
 0.9920    0.236     0.160     0.874     0.916
 0.9861    0.223     0.157     0.882     0.918
 0.9795    0.210     0.152     0.889     0.921
 0.9726    0.196     0.146     0.897     0.924
 0.9655    0.184     0.140     0.903     0.927
 0.9582    0.174     0.134     0.909     0.931
 0.9508    0.165     0.128     0.914     0.934
 0.9434    0.155     0.121     0.920     0.938
 0.9360    0.144     0.114     0.925     0.942
 0.9286    0.134     0.106     0.931     0.945
 0.9211    0.124     0.099     0.936     0.949
 0.9137    0.114     0.091     0.941     0.953
 0.9061    0.105     0.084     0.946     0.957
 0.8986    0.096     0.076     0.951     0.961
 0.8911    0.087     0.069     0.956     0.965
 0.8836    0.078     0.061     0.960     0.969
 0.8760    0.069     0.053     0.965     0.973
 0.8685    0.061     0.046     0.969     0.977
 0.8609    0.052     0.038     0.973     0.981
 0.8533    0.044     0.031     0.978     0.984
 0.8458    0.036     0.023     0.982     0.988
 0.8382    0.028     0.016     0.986     0.992
 0.8306    0.019     0.009     0.990     0.996
 0.8231    0.011     0.001     0.994     0.999
 0.8155    0.003    -0.006     0.998     1.003
 0.8079   -0.004    -0.013     1.002     1.007
 0.8004   -0.012    -0.020     1.006     1.010
 0.7928   -0.019    -0.027     1.010     1.014
 0.7853   -0.027    -0.034     1.013     1.017
 0.7778   -0.034    -0.041     1.017     1.020
 0.7702   -0.041    -0.048     1.020     1.024
 0.7627   -0.048    -0.055     1.024     1.027
 0.7551   -0.055    -0.061     1.027     1.030
 0.7476   -0.062    -0.068     1.030     1.033
 0.7401   -0.068    -0.074     1.034     1.036
 0.7325   -0.075    -0.081     1.037     1.039
 0.7250   -0.082    -0.087     1.040     1.042
 0.7175   -0.088    -0.093     1.043     1.045
 0.7099   -0.094    -0.099     1.046     1.048
 0.7024   -0.101    -0.105     1.049     1.051
 0.6949   -0.107    -0.111     1.052     1.054
 0.6874   -0.113    -0.117     1.055     1.057
 0.6799   -0.119    -0.123     1.058     1.060
 0.6723   -0.125    -0.129     1.061     1.062
 0.6648   -0.130    -0.134     1.063     1.065
 0.6573   -0.136    -0.140     1.066     1.067
 0.6498   -0.141    -0.145     1.068     1.070
 0.6423   -0.147    -0.150     1.071     1.072
