xflr5 v6.61
SD6060-104-88
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =  -6.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.266     0.104     0.857     0.947
 0.9966    0.264     0.089     0.858     0.954
 0.9866    0.247     0.098     0.868     0.950
 0.9703    0.217     0.097     0.885     0.950
 0.9483    0.188     0.088     0.901     0.955
 0.9210    0.155     0.070     0.919     0.964
 0.8891    0.121     0.047     0.938     0.976
 0.8530    0.087     0.020     0.956     0.990
 0.8135    0.053    -0.009     0.973     1.005
 0.7710    0.020    -0.039     0.990     1.019
 0.7260   -0.011    -0.067     1.005     1.033
 0.6792   -0.039    -0.094     1.019     1.046
 0.6309   -0.062    -0.118     1.030     1.057
 0.5817   -0.083    -0.140     1.041     1.068
 0.5322   -0.105    -0.162     1.051     1.078
 0.4828   -0.114    -0.173     1.055     1.083
 0.4339   -0.110    -0.171     1.053     1.082
 0.3857   -0.095    -0.159     1.046     1.076
 0.3386   -0.071    -0.138     1.035     1.067
 0.2932   -0.039    -0.109     1.019     1.053
 0.2498    0.001    -0.070     0.999     1.034
 0.2088    0.052    -0.026     0.974     1.013
 0.1708    0.116     0.026     0.940     0.987
 0.1359    0.197     0.101     0.896     0.948
 0.1046    0.299     0.193     0.838     0.898
 0.0770    0.428     0.315     0.757     0.828
 0.0534    0.590     0.465     0.641     0.732
 0.0340    0.777     0.655     0.473     0.588
 0.0188    0.956     0.860     0.212     0.375
 0.0079    0.960     1.000    -0.203     0.037
 0.0015   -0.174     0.618    -1.083    -0.618
 0.0003   -7.446    -1.935    -2.895    -1.711
 0.0050   -3.806    -2.050    -2.188    -1.744
 0.0152   -2.547    -1.958    -1.880    -1.718
 0.0307   -1.873    -1.924    -1.693    -1.708
 0.0511   -1.459    -1.899    -1.567    -1.701
 0.0765   -1.182    -1.509    -1.476    -1.582
 0.1065   -0.981    -1.214    -1.407    -1.487
 0.1408   -0.834    -0.983    -1.354    -1.407
 0.1791   -0.721    -0.776    -1.311    -1.332
 0.2210   -0.630    -0.626    -1.276    -1.275
 0.2659   -0.557    -0.523    -1.247    -1.234
 0.3135   -0.496    -0.448    -1.223    -1.203
 0.3631   -0.444    -0.389    -1.201    -1.178
 0.4141   -0.399    -0.340    -1.182    -1.157
 0.4661   -0.357    -0.296    -1.165    -1.138
 0.5185   -0.317    -0.255    -1.147    -1.120
 0.5707   -0.278    -0.215    -1.130    -1.102
 0.6222   -0.237    -0.176    -1.112    -1.084
 0.6725   -0.194    -0.137    -1.092    -1.066
 0.7212   -0.147    -0.098    -1.071    -1.048
 0.7676   -0.100    -0.061    -1.049    -1.030
 0.8113   -0.055    -0.027    -1.027    -1.014
 0.8518   -0.010     0.004    -1.005    -0.998
 0.8884    0.038     0.031    -0.981    -0.984
 0.9207    0.083     0.054    -0.958    -0.973
 0.9482    0.129     0.073    -0.933    -0.963
 0.9703    0.173     0.087    -0.910    -0.956
 0.9866    0.214     0.096    -0.887    -0.951
 0.9966    0.249     0.101    -0.867    -0.948
 1.0000    0.266     0.104    -0.857    -0.947


