xflr5 v6.61
SD6060-104-88
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =   0.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.262     0.175     0.859     0.909
 0.9966    0.252     0.168     0.865     0.913
 0.9866    0.225     0.160     0.880     0.917
 0.9703    0.185     0.144     0.903     0.926
 0.9483    0.146     0.119     0.924     0.939
 0.9210    0.101     0.087     0.948     0.956
 0.8891    0.053     0.048     0.973     0.976
 0.8530    0.004     0.004     0.998     0.998
 0.8135   -0.047    -0.044     1.023     1.022
 0.7710   -0.098    -0.093     1.048     1.045
 0.7260   -0.149    -0.142     1.072     1.069
 0.6792   -0.200    -0.192     1.095     1.091
 0.6309   -0.247    -0.238     1.117     1.113
 0.5817   -0.296    -0.286     1.138     1.134
 0.5322   -0.348    -0.336     1.161     1.156
 0.4828   -0.390    -0.377     1.179     1.173
 0.4339   -0.419    -0.407     1.191     1.186
 0.3857   -0.440    -0.429     1.199     1.195
 0.3386   -0.454    -0.443     1.205     1.201
 0.2932   -0.463    -0.451     1.209     1.204
 0.2498   -0.471    -0.454     1.212     1.205
 0.2088   -0.473    -0.457     1.213     1.207
 0.1708   -0.469    -0.464     1.212     1.210
 0.1359   -0.455    -0.447     1.206     1.202
 0.1046   -0.429    -0.416     1.195     1.190
 0.0770   -0.380    -0.366     1.175     1.169
 0.0534   -0.295    -0.274     1.138     1.128
 0.0340   -0.162    -0.147     1.078     1.071
 0.0188    0.054     0.086     0.973     0.956
 0.0079    0.375     0.388     0.791     0.783
 0.0015    0.794     0.818     0.454     0.428
 0.0003    0.642     0.613    -0.599    -0.623
 0.0050   -0.001    -0.026    -1.000    -1.013
 0.0152   -0.132    -0.154    -1.064    -1.074
 0.0307   -0.197    -0.217    -1.094    -1.103
 0.0511   -0.209    -0.226    -1.100    -1.107
 0.0765   -0.205    -0.221    -1.098    -1.105
 0.1065   -0.193    -0.209    -1.092    -1.099
 0.1408   -0.181    -0.198    -1.087    -1.095
 0.1791   -0.169    -0.184    -1.081    -1.088
 0.2210   -0.157    -0.160    -1.075    -1.077
 0.2659   -0.147    -0.150    -1.071    -1.072
 0.3135   -0.138    -0.144    -1.067    -1.069
 0.3631   -0.130    -0.136    -1.063    -1.066
 0.4141   -0.121    -0.128    -1.059    -1.062
 0.4661   -0.112    -0.118    -1.054    -1.057
 0.5185   -0.101    -0.106    -1.049    -1.052
 0.5707   -0.088    -0.094    -1.043    -1.046
 0.6222   -0.070    -0.077    -1.035    -1.038
 0.6725   -0.050    -0.057    -1.024    -1.028
 0.7212   -0.024    -0.032    -1.012    -1.016
 0.7676    0.005    -0.005    -0.997    -1.003
 0.8113    0.033     0.021    -0.983    -0.989
 0.8518    0.063     0.049    -0.968    -0.975
 0.8884    0.096     0.077    -0.951    -0.961
 0.9207    0.128     0.104    -0.934    -0.947
 0.9482    0.163     0.129    -0.915    -0.933
 0.9703    0.196     0.148    -0.897    -0.923
 0.9866    0.228     0.161    -0.879    -0.916
 0.9966    0.254     0.166    -0.864    -0.914
 1.0000    0.262     0.175    -0.859    -0.909


