xflr5 v6.61
SD6060-104-88
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =  10.6,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.294    -0.030     0.840     1.015
 0.9966    0.269    -0.030     0.855     1.015
 0.9866    0.229    -0.033     0.878     1.016
 0.9703    0.173    -0.036     0.909     1.018
 0.9483    0.117    -0.041     0.940     1.020
 0.9210    0.051    -0.046     0.974     1.023
 0.8891   -0.019    -0.051     1.009     1.025
 0.8530   -0.094    -0.056     1.046     1.028
 0.8135   -0.175    -0.073     1.084     1.036
 0.7710   -0.259    -0.102     1.122     1.050
 0.7260   -0.348    -0.147     1.161     1.071
 0.6792   -0.441    -0.209     1.200     1.099
 0.6309   -0.535    -0.286     1.238     1.134
 0.5817   -0.637    -0.377     1.279     1.173
 0.5322   -0.752    -0.480     1.323     1.216
 0.4828   -0.862    -0.587     1.364     1.259
 0.4339   -0.966    -0.691     1.401     1.300
 0.3857   -1.067    -0.794     1.437     1.339
 0.3386   -1.173    -0.897     1.473     1.376
 0.2932   -1.289    -1.005     1.511     1.415
 0.2498   -1.422    -1.122     1.555     1.456
 0.2088   -1.573    -1.251     1.603     1.499
 0.1708   -1.750    -1.396     1.656     1.547
 0.1359   -1.961    -1.564     1.719     1.599
 0.1046   -2.219    -1.761     1.792     1.660
 0.0770   -2.540    -1.998     1.879     1.729
 0.0534   -2.939    -2.294     1.981     1.812
 0.0340   -3.485    -2.729     2.114     1.928
 0.0188   -4.246    -3.507     2.285     2.119
 0.0079   -5.389    -4.913     2.520     2.425
 0.0015   -9.003    -5.537     3.148     2.549
 0.0003  -11.091    -5.130     3.458     2.469
 0.0050   -0.244     0.516     1.115     0.696
 0.0152    0.839     0.985     0.402     0.125
 0.0307    1.001     0.957    -0.010    -0.210
 0.0511    0.939     0.836    -0.248    -0.406
 0.0765    0.839     0.719    -0.403    -0.530
 0.1065    0.741     0.616    -0.510    -0.620
 0.1408    0.655     0.533    -0.588    -0.684
 0.1791    0.582     0.461    -0.647    -0.735
 0.2210    0.519     0.404    -0.694    -0.772
 0.2659    0.465     0.352    -0.732    -0.805
 0.3135    0.418     0.305    -0.764    -0.834
 0.3631    0.376     0.265    -0.790    -0.858
 0.4141    0.340     0.229    -0.813    -0.878
 0.4661    0.308     0.196    -0.832    -0.897
 0.5185    0.281     0.168    -0.848    -0.912
 0.5707    0.258     0.144    -0.861    -0.925
 0.6222    0.242     0.125    -0.871    -0.936
 0.6725    0.230     0.110    -0.878    -0.944
 0.7212    0.225     0.100    -0.881    -0.949
 0.7676    0.224     0.094    -0.881    -0.952
 0.8113    0.225     0.087    -0.880    -0.955
 0.8518    0.230     0.081    -0.878    -0.959
 0.8884    0.239     0.076    -0.873    -0.961
 0.9207    0.249     0.068    -0.867    -0.966
 0.9482    0.263     0.055    -0.859    -0.972
 0.9703    0.277     0.032    -0.851    -0.984
 0.9866    0.291    -0.008    -0.843    -1.004
 0.9966    0.301    -0.069    -0.836    -1.034
 1.0000    0.294    -0.030    -0.840    -1.015


