xflr5 v6.61
SD6060-104-88
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =  10.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.291     0.003     0.842     0.999
 0.9966    0.267     0.002     0.856     0.999
 0.9866    0.228    -0.000     0.879     1.000
 0.9703    0.173    -0.004     0.910     1.002
 0.9483    0.117    -0.009     0.940     1.004
 0.9210    0.052    -0.014     0.973     1.007
 0.8891   -0.017    -0.020     1.008     1.010
 0.8530   -0.090    -0.037     1.044     1.018
 0.8135   -0.169    -0.064     1.081     1.031
 0.7710   -0.252    -0.105     1.119     1.051
 0.7260   -0.338    -0.161     1.157     1.077
 0.6792   -0.429    -0.232     1.195     1.110
 0.6309   -0.521    -0.315     1.233     1.146
 0.5817   -0.620    -0.409     1.272     1.187
 0.5322   -0.731    -0.512     1.315     1.229
 0.4828   -0.837    -0.616     1.355     1.271
 0.4339   -0.936    -0.716     1.390     1.309
 0.3857   -1.032    -0.812     1.425     1.345
 0.3386   -1.132    -0.909     1.459     1.381
 0.2932   -1.241    -1.011     1.496     1.417
 0.2498   -1.365    -1.122     1.537     1.455
 0.2088   -1.507    -1.244     1.582     1.497
 0.1708   -1.671    -1.381     1.633     1.542
 0.1359   -1.866    -1.539     1.691     1.592
 0.1046   -2.103    -1.724     1.759     1.649
 0.0770   -2.397    -1.944     1.840     1.714
 0.0534   -2.757    -2.212     1.935     1.790
 0.0340   -3.245    -2.589     2.057     1.892
 0.0188   -3.916    -3.285     2.212     2.066
 0.0079   -4.909    -4.739     2.424     2.389
 0.0015   -8.061    -5.241     2.998     2.491
 0.0003   -9.535    -4.850     3.230     2.412
 0.0050    0.008     0.579     0.996     0.650
 0.0152    0.899     0.993     0.319     0.090
 0.0307    0.996     0.945    -0.072    -0.237
 0.0511    0.913     0.818    -0.297    -0.428
 0.0765    0.805     0.700    -0.443    -0.549
 0.1065    0.706     0.597    -0.543    -0.636
 0.1408    0.621     0.515    -0.617    -0.697
 0.1791    0.549     0.444    -0.672    -0.746
 0.2210    0.488     0.389    -0.716    -0.782
 0.2659    0.435     0.339    -0.752    -0.813
 0.3135    0.390     0.294    -0.782    -0.840
 0.3631    0.350     0.255    -0.807    -0.863
 0.4141    0.315     0.221    -0.828    -0.883
 0.4661    0.285     0.190    -0.846    -0.900
 0.5185    0.260     0.164    -0.860    -0.914
 0.5707    0.239     0.142    -0.873    -0.927
 0.6222    0.224     0.124    -0.881    -0.936
 0.6725    0.214     0.112    -0.887    -0.943
 0.7212    0.210     0.104    -0.889    -0.947
 0.7676    0.211     0.100    -0.888    -0.949
 0.8113    0.214     0.096    -0.887    -0.951
 0.8518    0.219     0.092    -0.884    -0.953
 0.8884    0.229     0.089    -0.878    -0.954
 0.9207    0.241     0.084    -0.872    -0.957
 0.9482    0.256     0.074    -0.863    -0.962
 0.9703    0.271     0.055    -0.854    -0.972
 0.9866    0.286     0.020    -0.845    -0.990
 0.9966    0.297    -0.034    -0.839    -1.017
 1.0000    0.291     0.003    -0.842    -0.999


