xflr5 v6.61
SD6060-104-88-MP
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =  12.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.304    -0.050     0.835     1.025
 0.9971    0.270    -0.051     0.855     1.025
 0.9920    0.246    -0.052     0.869     1.025
 0.9861    0.222    -0.053     0.882     1.026
 0.9795    0.199    -0.054     0.895     1.027
 0.9726    0.177    -0.055     0.908     1.027
 0.9655    0.156    -0.056     0.919     1.028
 0.9582    0.138    -0.057     0.929     1.028
 0.9508    0.120    -0.059     0.938     1.029
 0.9434    0.102    -0.060     0.948     1.029
 0.9360    0.084    -0.061     0.957     1.030
 0.9286    0.066    -0.062     0.967     1.030
 0.9211    0.048    -0.063     0.976     1.031
 0.9137    0.031    -0.064     0.984     1.031
 0.9061    0.014    -0.065     0.993     1.032
 0.8986   -0.003    -0.065     1.001     1.032
 0.8911   -0.019    -0.066     1.010     1.032
 0.8836   -0.036    -0.066     1.018     1.033
 0.8760   -0.052    -0.067     1.026     1.033
 0.8685   -0.068    -0.068     1.033     1.033
 0.8609   -0.084    -0.069     1.041     1.034
 0.8533   -0.101    -0.071     1.049     1.035
 0.8458   -0.117    -0.073     1.057     1.036
 0.8382   -0.133    -0.076     1.064     1.037
 0.8306   -0.149    -0.079     1.072     1.039
 0.8231   -0.165    -0.082     1.079     1.040
 0.8155   -0.181    -0.086     1.087     1.042
 0.8079   -0.197    -0.090     1.094     1.044
 0.8004   -0.213    -0.094     1.101     1.046
 0.7928   -0.228    -0.099     1.108     1.048
 0.7853   -0.244    -0.104     1.115     1.051
 0.7778   -0.260    -0.109     1.122     1.053
 0.7702   -0.275    -0.115     1.129     1.056
 0.7627   -0.291    -0.121     1.136     1.059
 0.7551   -0.306    -0.128     1.143     1.062
 0.7476   -0.322    -0.135     1.149     1.065
 0.7401   -0.338    -0.142     1.156     1.068
 0.7325   -0.353    -0.149     1.163     1.072
 0.7250   -0.369    -0.157     1.170     1.076
 0.7175   -0.385    -0.166     1.176     1.079
 0.7099   -0.401    -0.174     1.183     1.083
 0.7024   -0.416    -0.183     1.190     1.088
 0.6949   -0.432    -0.193     1.196     1.092
 0.6874   -0.448    -0.203     1.203     1.096
 0.6799   -0.464    -0.213     1.209     1.101
 0.6723   -0.480    -0.223     1.216     1.106
 0.6648   -0.495    -0.234     1.222     1.111
 0.6573   -0.511    -0.245     1.229     1.116
 0.6498   -0.526    -0.257     1.235     1.121
 0.6423   -0.542    -0.269     1.241     1.126
 0.6347   -0.558    -0.281     1.248     1.132
 0.6272   -0.574    -0.294     1.254     1.137
 0.6197   -0.590    -0.307     1.261     1.143
 0.6122   -0.607    -0.320     1.267     1.149
 0.6046   -0.623    -0.334     1.274     1.155
 0.5971   -0.640    -0.348     1.280     1.161
 0.5896   -0.657    -0.362     1.287     1.167
 0.5821   -0.675    -0.377     1.294     1.173
 0.5745   -0.693    -0.392     1.301     1.179
 0.5670   -0.711    -0.407     1.308     1.186
 0.5595   -0.730    -0.423     1.315     1.192
 0.5520   -0.749    -0.439     1.322     1.199
 0.5445   -0.768    -0.455     1.329     1.206
 0.5370   -0.787    -0.471     1.336     1.212
 0.5295   -0.805    -0.488     1.343     1.219
 0.5221   -0.824    -0.504     1.350     1.226
 0.5146   -0.842    -0.521     1.356     1.233
 0.5071   -0.860    -0.538     1.363     1.240
 0.4996   -0.878    -0.555     1.370     1.246
 0.4921   -0.896    -0.572     1.376     1.253
 0.4847   -0.914    -0.589     1.382     1.260
 0.4772   -0.931    -0.606     1.389     1.267
 0.4697   -0.949    -0.623     1.395     1.274
 0.4622   -0.966    -0.641     1.401     1.280
 0.4547   -0.984    -0.658     1.407     1.287
 0.4473   -1.001    -0.675     1.414     1.294
 0.4398   -1.019    -0.693     1.420     1.300
 0.4323   -1.036    -0.710     1.426     1.307
 0.4248   -1.053    -0.728     1.432     1.314
 0.4173   -1.071    -0.745     1.438     1.320
 0.4098   -1.089    -0.763     1.444     1.327
 0.4024   -1.106    -0.780     1.450     1.334
 0.3949   -1.124    -0.798     1.456     1.340
 0.3874   -1.142    -0.816     1.463     1.347
 0.3799   -1.161    -0.834     1.469     1.353
 0.3724   -1.179    -0.852     1.475     1.360
 0.3649   -1.198    -0.870     1.481     1.367
 0.3575   -1.217    -0.889     1.488     1.373
 0.3500   -1.237    -0.907     1.494     1.380
 0.3425   -1.257    -0.926     1.501     1.387
 0.3350   -1.277    -0.945     1.508     1.394
 0.3276   -1.297    -0.964     1.514     1.401
 0.3201   -1.318    -0.984     1.521     1.408
 0.3126   -1.340    -1.004     1.528     1.415
 0.3051   -1.362    -1.024     1.536     1.422
 0.2977   -1.385    -1.045     1.543     1.429
 0.2902   -1.409    -1.066     1.550     1.436
 0.2828   -1.433    -1.088     1.558     1.444
 0.2753   -1.458    -1.110     1.566     1.452
 0.2679   -1.485    -1.133     1.575     1.459
 0.2604   -1.512    -1.156     1.583     1.467
 0.2530   -1.539    -1.180     1.592     1.475
 0.2456   -1.568    -1.205     1.601     1.484
