xflr5 v6.61
SD6060-104-88-MP
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =   6.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.276     0.150     0.851     0.922
 0.9971    0.249     0.145     0.867     0.925
 0.9920    0.229     0.141     0.878     0.927
 0.9861    0.209     0.136     0.889     0.930
 0.9795    0.190     0.129     0.900     0.933
 0.9726    0.171     0.122     0.911     0.937
 0.9655    0.154     0.115     0.920     0.941
 0.9582    0.138     0.107     0.928     0.945
 0.9508    0.124     0.099     0.936     0.949
 0.9434    0.109     0.091     0.944     0.954
 0.9360    0.094     0.082     0.952     0.958
 0.9286    0.078     0.073     0.960     0.963
 0.9211    0.064     0.063     0.968     0.968
 0.9137    0.049     0.053     0.975     0.973
 0.9061    0.035     0.043     0.982     0.978
 0.8986    0.021     0.033     0.989     0.983
 0.8911    0.008     0.023     0.996     0.989
 0.8836   -0.006     0.012     1.003     0.994
 0.8760   -0.019     0.002     1.010     0.999
 0.8685   -0.032    -0.009     1.016     1.005
 0.8609   -0.046    -0.020     1.022     1.010
 0.8533   -0.059    -0.031     1.029     1.015
 0.8458   -0.072    -0.042     1.035     1.021
 0.8382   -0.085    -0.054     1.041     1.027
 0.8306   -0.098    -0.065     1.048     1.032
 0.8231   -0.111    -0.077     1.054     1.038
 0.8155   -0.124    -0.088     1.060     1.043
 0.8079   -0.136    -0.100     1.066     1.049
 0.8004   -0.149    -0.112     1.072     1.054
 0.7928   -0.161    -0.123     1.077     1.060
 0.7853   -0.174    -0.135     1.083     1.065
 0.7778   -0.186    -0.147     1.089     1.071
 0.7702   -0.198    -0.158     1.094     1.076
 0.7627   -0.210    -0.170     1.100     1.081
 0.7551   -0.222    -0.182     1.105     1.087
 0.7476   -0.234    -0.193     1.111     1.092
 0.7401   -0.247    -0.205     1.116     1.097
 0.7325   -0.259    -0.217     1.122     1.103
 0.7250   -0.271    -0.228     1.127     1.108
 0.7175   -0.283    -0.240     1.132     1.113
 0.7099   -0.295    -0.252     1.138     1.119
 0.7024   -0.307    -0.263     1.143     1.124
 0.6949   -0.319    -0.275     1.148     1.129
 0.6874   -0.330    -0.287     1.153     1.134
 0.6799   -0.342    -0.298     1.158     1.139
 0.6723   -0.354    -0.310     1.163     1.144
 0.6648   -0.365    -0.321     1.168     1.149
 0.6573   -0.377    -0.333     1.173     1.154
 0.6498   -0.388    -0.344     1.178     1.159
 0.6423   -0.400    -0.356     1.183     1.164
 0.6347   -0.411    -0.367     1.187     1.169
 0.6272   -0.423    -0.379     1.192     1.174
 0.6197   -0.434    -0.390     1.197     1.179
 0.6122   -0.446    -0.402     1.202     1.184
 0.6046   -0.458    -0.414     1.207     1.189
 0.5971   -0.470    -0.425     1.212     1.194
 0.5896   -0.482    -0.437     1.217     1.198
 0.5821   -0.495    -0.449     1.222     1.204
 0.5745   -0.507    -0.462     1.227     1.209
 0.5670   -0.521    -0.474     1.233     1.214
 0.5595   -0.534    -0.487     1.238     1.219
 0.5520   -0.547    -0.499     1.243     1.224
 0.5445   -0.560    -0.512     1.249     1.229
 0.5370   -0.573    -0.524     1.254     1.234
 0.5295   -0.586    -0.536     1.259     1.239
 0.5221   -0.598    -0.548     1.264     1.244
 0.5146   -0.611    -0.560     1.268     1.248
 0.5071   -0.623    -0.572     1.273     1.253
 0.4996   -0.634    -0.583     1.278     1.258
