,Alpha,Delta_Pb,P_bar,T,rpm,rho,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,q_inf,p_s_inf
1,-6.0,138.73,1025.42,20.06,889.72,1.218,-169.07,212.25,270.34,189.28,103.4,55.27,22.38,8.66,-7.58,-16.46,-15.57,-29.18,-35.13,-40.92,-32.21,-30.08,-22.93,-16.58,-10.05,-4.21,0.11,4.4,9.23,10.75,19.38,-165.2,-622.73,-620.7,-482.37,-235.25,-192.98,-164.42,-142.45,-126.69,-113.04,-101.07,-91.12,-82.36,-73.3,-64.8,-57.03,-48.75,-40.11,-30.95,-21.35,-11.7,-1.64,7.63,19.38,291.76,292.67,292.81,291.68,291.77,292.54,293.54,292.65,292.07,292.45,292.55,291.82,292.46,291.8,291.54,292.64,291.79,291.25,292.27,293.38,291.75,283.44,266.31,239.95,218.26,212.35,226.9,253.65,276.42,289.2,290.94,292.67,292.61,289.71,292.4,294.49,293.56,293.44,292.23,294.22,292.31,293.67,292.71,291.24,291.64,293.65,293.06,293.05,15.7,12.46,13.54,13.69,14.3,14.49,14.97,15.71,16.21,16.14,16.12,11.33,1.58,-0.02,-0.17,-0.21,271.3616082847924,21.688391715207615
2,-5.0,140.15,1025.4,20.19,889.68,1.218,-84.9,224.19,260.42,164.63,76.79,30.89,0.06,-12.75,-25.07,-34.52,-32.38,-44.17,-49.38,-53.01,-42.97,-41.09,-34.25,-25.24,-17.87,-12.01,-8.84,-4.76,-0.51,0.1,22.87,-82.72,-558.81,-524.02,-296.02,-202.53,-170.85,-145.23,-125.69,-111.83,-100.04,-89.55,-80.86,-73.25,-65.05,-57.35,-50.37,-42.59,-34.36,-25.57,-16.03,-6.31,3.82,13.55,22.87,293.98,294.82,294.93,293.61,293.79,294.55,295.75,294.64,294.4,294.43,294.56,293.99,294.47,293.74,293.8,294.83,294.02,293.47,294.18,295.36,292.54,280.5,259.62,236.09,228.03,244.73,268.56,285.34,292.62,294.57,293.22,294.71,294.17,290.8,293.77,295.6,294.91,294.75,293.51,295.41,293.56,295.04,294.13,292.47,292.92,294.87,294.36,294.38,14.59,12.48,13.48,13.45,13.88,12.42,14.23,15.29,15.43,15.19,15.1,11.5,0.73,-0.02,-0.16,-0.19,274.1744209393915,20.2055790606085
3,-4.0,140.2,1025.33,20.25,890.02,1.217,1.44,225.37,238.19,135.33,47.47,6.29,-11.04,-32.36,-43.08,-49.88,-47.31,-56.72,-59.99,-63.43,-52.7,-48.81,-41.4,-31.57,-24.13,-18.85,-16.18,-12.65,-9.27,-7.91,27.14,3.42,-527.48,-357.35,-252.81,-191.9,-157.27,-124.17,-104.47,-91.94,-82.39,-74.94,-68.55,-62.38,-55.78,-49.15,-43.26,-36.42,-28.87,-20.74,-11.65,-2.27,7.81,17.67,27.14,293.04,293.86,293.93,292.83,292.93,293.57,294.89,293.76,293.42,293.57,293.72,292.88,293.61,292.92,292.93,293.89,293.01,292.51,293.25,293.96,287.5,269.16,248.03,239.15,251.11,273.47,286.02,291.55,293.32,293.76,292.36,293.85,293.96,287.37,293.52,295.32,294.77,294.44,293.16,295.18,293.34,294.69,293.89,292.14,292.6,294.6,293.85,294.1,14.2,12.99,13.97,13.78,14.05,14.3,14.17,15.29,15.24,14.9,14.79,12.19,0.67,-0.02,-0.14,-0.13,274.27347745189593,19.826522548104094
4,-3.0,140.79,1025.33,20.34,889.46,1.217,90.88,229.28,215.39,106.55,22.51,-9.15,-32.14,-48.68,-59.44,-62.35,-58.77,-68.63,-68.8,-70.99,-57.92,-53.63,-45.56,-35.75,-28.92,-24.2,-22.88,-19.72,-17.52,17.03,27.34,97.93,-364.48,-275.5,-200.44,-152.21,-126.54,-107.86,-94.65,-84.79,-76.63,-69.52,-63.48,-58.66,-52.83,-47.54,-42.06,-34.81,-25.57,-16.04,-6.32,2.69,12.27,21.66,27.34,296.55,297.29,297.35,296.17,296.4,297.0,298.22,297.1,297.23,296.96,297.08,296.26,297.12,296.29,296.43,297.22,296.54,296.02,296.46,295.43,283.74,263.51,252.35,258.3,273.08,288.59,294.47,296.38,296.85,297.26,295.84,297.26,296.98,293.29,296.7,298.46,297.89,297.6,296.17,298.22,296.2,297.77,297.15,295.23,295.7,297.71,297.27,296.98,15.06,14.42,15.35,15.06,15.17,16.15,15.48,16.12,16.17,15.78,15.66,13.64,1.31,0.0,-0.11,-0.09,275.4424152646113,21.53758473538869
5,-2.0,138.13,1025.36,20.5,889.42,1.216,178.2,215.38,179.38,67.91,-3.07,-35.41,-52.59,-65.59,-72.96,-76.17,-70.7,-77.74,-78.98,-78.95,-64.08,-59.62,-50.72,-41.14,-36.63,-31.59,-32.01,-31.26,-15.07,33.27,27.38,184.07,-208.75,-192.37,-149.12,-118.88,-100.29,-87.04,-77.18,-69.71,-63.42,-57.73,-52.94,-48.86,-43.9,-39.26,-34.82,-30.04,-24.99,-20.21,-15.47,-10.99,-4.08,13.33,27.38,290.46,291.24,291.38,290.34,290.25,291.14,292.12,291.4,290.68,291.02,291.17,290.38,291.07,290.3,290.25,291.32,290.51,289.85,290.85,291.43,286.25,273.25,258.37,253.03,259.89,274.3,283.77,288.95,290.63,291.17,289.87,291.27,291.1,288.98,291.13,293.04,292.1,291.75,290.76,292.8,291.01,292.42,291.2,289.75,290.14,292.28,291.49,291.71,14.27,14.05,14.89,14.54,14.64,15.23,14.83,15.48,15.51,15.03,14.88,13.39,0.65,-0.02,-0.07,-0.1,270.173323675654,21.53667632434599
6,-1.0,138.27,1025.34,20.55,890.11,1.216,242.92,192.8,139.12,29.9,-34.2,-62.95,-75.32,-85.77,-88.63,-90.55,-82.87,-89.35,-88.5,-87.11,-72.16,-67.98,-57.26,-48.64,-45.21,-42.27,-41.7,-41.38,14.83,39.85,27.09,248.96,-71.07,-113.06,-100.16,-86.48,-74.37,-67.15,-59.75,-54.57,-50.27,-45.91,-42.38,-39.34,-35.26,-31.36,-27.58,-23.14,-18.05,-13.19,-8.21,-4.05,-0.34,3.32,27.09,291.44,292.29,292.36,291.24,291.2,291.91,293.24,292.26,291.65,292.02,292.11,291.37,292.18,291.41,291.37,292.28,291.35,290.73,291.46,291.65,287.18,274.87,261.0,256.37,263.62,276.73,284.06,288.84,291.37,292.11,290.73,291.96,291.63,286.75,291.52,293.38,292.7,292.31,291.23,293.38,291.52,292.7,291.81,290.27,290.68,292.78,291.89,292.12,13.43,13.78,14.65,14.19,14.2,14.56,11.48,14.95,14.85,14.27,14.14,13.27,0.22,-0.01,-0.08,-0.1,270.4505779812845,21.669422018715522
7,0.0,139.0,1025.31,20.58,890.3,1.216,280.14,155.4,90.48,-8.02,-70.67,-90.17,-98.39,-107.68,-106.29,-105.95,-97.07,-102.18,-99.07,-95.83,-80.35,-74.59,-64.77,-58.69,-54.6,-52.67,-54.16,-13.73,26.53,37.4,39.53,283.83,48.1,-36.69,-52.72,-53.39,-49.4,-45.91,-41.61,-38.69,-36.08,-33.36,-30.9,-28.85,-25.83,-22.71,-19.51,-15.44,-10.54,-5.65,-0.35,4.07,8.02,10.2,39.53,292.91,293.93,294.07,292.71,292.8,293.68,294.89,293.79,293.3,293.43,293.65,293.04,293.85,292.97,292.95,293.71,292.99,292.24,293.04,293.42,288.57,278.46,266.03,256.78,258.92,269.81,278.94,286.68,291.61,293.48,292.39,293.7,293.41,287.62,293.26,295.27,294.43,294.27,292.99,294.93,293.11,294.53,293.54,292.13,292.6,294.5,293.7,293.9,13.52,14.45,15.27,14.72,14.61,15.3,14.24,15.25,15.07,14.43,14.27,14.02,0.43,-0.02,-0.09,-0.09,271.8963805053999,22.00361949460006
8,0.0,138.26,1025.36,20.62,889.43,1.216,276.28,156.8,89.47,-8.47,-69.28,-89.83,-97.76,-106.28,-106.37,-104.9,-96.28,-101.07,-98.37,-95.07,-79.09,-73.62,-64.02,-57.95,-54.11,-52.19,-53.73,-15.94,25.81,36.64,39.15,280.31,48.52,-36.27,-51.71,-52.87,-48.82,-45.28,-41.19,-38.31,-35.76,-33.07,-30.61,-28.8,-25.59,-22.56,-19.33,-15.35,-10.51,-5.63,-0.38,3.94,7.86,10.0,39.15,289.28,290.12,290.19,289.15,289.04,289.92,290.94,290.33,289.31,289.93,290.1,289.37,290.24,289.36,289.18,290.11,289.38,288.6,289.8,290.32,284.93,275.3,262.31,253.18,255.81,267.3,276.05,283.29,288.14,289.72,288.38,289.86,289.46,286.58,289.63,291.5,290.45,290.22,289.24,291.2,289.55,290.9,289.63,288.44,288.8,290.85,290.01,289.98,13.23,14.19,14.98,14.46,14.37,15.05,14.0,15.03,14.75,14.11,13.98,13.77,0.13,0.01,-0.1,-0.1,270.4307738579922,19.549226142007797
9,1.0,137.55,1025.37,20.65,890.47,1.216,282.14,98.7,22.17,-63.88,-112.97,-124.78,-128.81,-133.62,-128.52,-129.11,-115.1,-118.57,-113.62,-109.15,-93.54,-86.07,-79.29,-73.17,-69.48,-69.37,-61.29,-0.74,17.81,25.6,29.52,287.23,153.37,39.78,-0.49,-15.19,-18.81,-20.62,-20.41,-19.75,-19.07,-17.81,-16.74,-15.7,-13.6,-11.23,-8.74,-5.38,-0.77,3.86,9.34,14.2,18.45,20.78,29.52,290.69,291.51,291.75,290.68,290.64,291.4,292.51,291.62,291.01,291.38,291.45,290.67,291.48,290.66,290.87,291.63,290.62,290.16,291.25,292.39,287.91,271.75,253.94,248.38,257.37,274.82,285.76,289.94,291.15,291.46,290.0,291.54,290.59,287.83,290.36,292.3,291.56,291.33,290.1,292.15,290.44,291.79,290.66,289.24,289.68,291.74,290.92,291.22,13.0,15.19,15.97,15.22,14.91,15.53,15.45,15.25,14.81,14.03,13.85,14.97,0.46,0.0,-0.08,-0.11,269.02477717784353,22.195222822156495
10,2.0,138.91,1025.33,20.68,890.29,1.216,271.26,34.65,-36.2,-113.92,-151.15,-157.75,-154.49,-155.02,-147.14,-144.37,-128.5,-130.17,-124.28,-119.92,-103.58,-94.46,-88.91,-84.94,-82.61,-82.61,-20.56,2.19,13.4,23.7,36.01,274.67,220.91,96.93,39.6,13.47,4.64,-1.57,-3.88,-5.38,-6.25,-6.44,-6.54,-6.71,-5.57,-4.17,-2.71,-0.26,3.38,7.36,12.46,17.52,22.69,26.27,36.01,290.87,291.83,291.85,290.63,290.62,291.61,292.78,291.85,291.07,291.4,291.7,291.01,291.75,290.95,291.03,291.78,290.92,290.14,291.29,292.72,290.4,275.46,254.32,246.79,255.9,274.49,285.86,290.31,291.2,291.59,290.06,291.59,290.91,287.02,291.07,292.97,292.07,291.76,290.69,292.53,290.92,292.23,291.08,289.72,290.24,292.28,291.43,291.53,12.36,15.2,15.95,15.13,14.67,15.21,15.33,14.84,14.34,13.43,13.28,15.1,0.35,0.01,-0.08,-0.08,271.71812005394486,19.811879946055114
