,Alpha,Delta_Pb,P_bar,T,rpm,rho,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049
1,-6.0,138.73,1025.42,20.06,889.72,1.218,-0.623043182374428,0.7821666496656553,0.9962352512160813,0.6975194508773391,0.3810413737358246,0.2036765640849035,0.0824729781838274,0.03191313633029246,-0.027933207088177467,-0.06065706974556743,-0.05737731324049118,-0.10753179193047736,-0.1294582539587961,-0.1507950968401348,-0.11869770452641111,-0.11084839963223986,-0.08449979400157115,-0.06109928410580242,-0.03703545266968121,-0.015514353804911231,0.0004053631635487495,0.01621452654194998,0.034013654541408714,0.0396150364377187,0.0714176191779524,-0.6087817692568492,-2.2948345712428435,-2.287353778315535,-1.777591174554639,-0.8669244020440302,-0.7111543936512515,-0.6059073759153217,-0.5249452967956306,-0.4668678108181007,-0.41656592734136955,-0.3724550449079283,-0.3357881042051096,-0.3035064559079546,-0.27011927171021216,-0.2387957545268997,-0.2101623747016835,-0.17964958384546853,-0.14781014990854857,-0.11405445374394362,-0.07867730492514366,-0.04311590012291244,-0.006043596256544993,0.028117463071608714,0.0714176191779524
2,-5.0,140.15,1025.4,20.19,889.68,1.218,-0.30965689545038866,0.8176911589048602,0.9498333181765632,0.6004571813662837,0.28007718494270134,0.11266550648365731,0.00021883879537129937,-0.04650324401640112,-0.09143814333264126,-0.12590525360362093,-0.11810000323537792,-0.16110182652583824,-0.1801043285905794,-0.19334407571054302,-0.15672505061841224,-0.14986810169677822,-0.12492047902445007,-0.09205818658619327,-0.06517748788808533,-0.04380423220682176,-0.03224224918470478,-0.017361211099456417,-0.001860129760656045,0.00036473132561883233,0.08341405416902696,-0.3017057525518981,-2.038155120690597,-1.9112650925078052,-1.0796776700968673,-0.7386903537758212,-0.623143469819775,-0.5296993041962301,-0.4584308031703103,-0.4078790414395402,-0.36487721814907986,-0.32661690209166433,-0.29492174989538783,-0.2671656960157947,-0.23725772731505043,-0.20917341524240035,-0.18371516871420585,-0.1553390715810607,-0.12532168348263079,-0.09326179996073543,-0.05846643149669883,-0.02301454664654832,0.013932736638639394,0.04942109462135178,0.08341405416902696
3,-4.0,140.2,1025.33,20.25,890.02,1.217,0.005250234231097163,0.8216981171266443,0.8684397857673842,0.4934126378433189,0.17307542982651553,0.022933314801111916,-0.04025179577174492,-0.11798443035993347,-0.1570695074136568,-0.18186228017161565,-0.17249207046750473,-0.20680089276932714,-0.2187232996691103,-0.2312655258878424,-0.1921439888741809,-0.17796106445823096,-0.15094423414404345,-0.11510409352481768,-0.08797788333081566,-0.0687270244834594,-0.05899221517996674,-0.04612184932179105,-0.033798382862687985,-0.028839828311096223,0.09895233127220626,0.012469306298855762,-1.9231899668188415,-1.3028966683906746,-0.9217442471969958,-0.6996666312135734,-0.5734057899476742,-0.45272332255231584,-0.38089720147411155,-0.3352128716715786,-0.30039360993062175,-0.27323093977668156,-0.24993302537618786,-0.2274372300943341,-0.20337365653513872,-0.17920070309612887,-0.15772578669254395,-0.13278717409483243,-0.10525990434151049,-0.07561795691177442,-0.04247585332797358,-0.008276410905965667,0.028475228711714474,0.06442474921075478,0.09895233127220626
4,-3.0,140.79,1025.33,20.34,889.46,1.217,0.3299419223894534,0.8324062936339557,0.7819783303638246,0.38683221644582155,0.08172307078550393,-0.03321928465958956,-0.11668500644362934,-0.17673385543484368,-0.21579828198535556,-0.22636310366397913,-0.2133658316332326,-0.24916278756148977,-0.24977997645680455,-0.25773082163762434,-0.2102798871566587,-0.1947049438572446,-0.1654066239443607,-0.12979119416178433,-0.10499472266178471,-0.08785865450951555,-0.08306636426354197,-0.07159391185651433,-0.06360676144655837,0.06182780521888636,0.09925849645827088,0.3555371089304487,-1.3232529915548856,-1.0002090627013032,-0.7277020128052603,-0.5526018926815439,-0.45940636948901237,-0.391588201462659,-0.3436289937737871,-0.3078320378455299,-0.2782069708704205,-0.2523939529546083,-0.2304655945563656,-0.2129664741127348,-0.19180052552635152,-0.17259505931332106,-0.15269979374670348,-0.12637850262298497,-0.09283247090116994,-0.058233587534406175,-0.022944904814055304,0.009766106637627968,0.04454651615007255,0.07863712630893004,0.09925849645827088
5,-2.0,138.13,1025.36,20.5,889.42,1.216,0.6595765917064819,0.7971919546674638,0.663944158363124,0.2513571624174365,-0.011363075962620085,-0.13106401297601863,-0.1946528224345897,-0.24277008221115684,-0.2700488671767952,-0.2819301290139322,-0.26168386663102283,-0.2877412134638715,-0.29233085978102097,-0.29221981995076735,-0.23718107742172478,-0.22067315599068713,-0.18773133968211425,-0.1522726205544594,-0.13557963273966572,-0.11692494125705814,-0.11847949888060877,-0.11570350312426837,-0.055779008064066674,0.12314317175126069,0.10134235174480064,0.6813033851594394,-0.7726521521814146,-0.71202440486294,-0.5519419829139763,-0.4400138340183309,-0.3712061525378399,-0.32216356084249265,-0.28566846996580403,-0.25801955223265344,-0.23473820115614524,-0.2136776466847093,-0.19594828712088186,-0.18084687020639004,-0.1624882849377921,-0.14531412452523276,-0.12888022964769752,-0.1111878833606213,-0.09249617860126252,-0.0748038323141863,-0.0572595391341149,-0.04067759114957484,-0.015101416914491841,0.049338697909356924,0.10134235174480064
6,-1.0,138.27,1025.34,20.55,890.11,1.216,0.8982047729874342,0.7128844073438882,0.5144008233904653,0.11055624367003244,-0.1264556365724117,-0.232759717024366,-0.27849820311795465,-0.31713742540396933,-0.3277123704506681,-0.33481163425824206,-0.30641457902794617,-0.3303745943785083,-0.3272316911303636,-0.3220921199363387,-0.26681399810132245,-0.2513583091869166,-0.2117207529279618,-0.1798480164585411,-0.16716547746896881,-0.15629472976362113,-0.1541871358207476,-0.15300392518615194,0.05483441784704285,0.1473466993394914,0.10016617528498926,0.9205378737154274,-0.26278368687723097,-0.4180431073355809,-0.37034492862844315,-0.3197626739994785,-0.2749855465464988,-0.2482893566034341,-0.22092761067840933,-0.201774388530892,-0.18587499562851276,-0.1697537507321468,-0.1567014584192634,-0.14546095739060458,-0.13037502179950983,-0.11595464219037517,-0.10197796656921387,-0.08556091901419903,-0.06674047485766173,-0.04877046334474006,-0.030356747843845035,-0.014975009594101385,-0.0012571612992578942,0.012275810333930024,0.10016617528498926
7,0.0,139.0,1025.31,20.58,890.3,1.216,1.030318974747942,0.5715412603549305,0.3327738303533726,-0.029496530939810434,-0.25991519220902787,-0.33163369013001337,-0.36186579540747493,-0.3960332233913701,-0.3909209817446947,-0.38967050537068776,-0.3570110047789774,-0.3758049291059639,-0.36436674815548875,-0.3524504438855404,-0.2955169901513427,-0.27433244922699007,-0.23821574924831942,-0.215854289383725,-0.20081179417875933,-0.1937135018204259,-0.19919353063592682,-0.05049717827975029,0.09757393588942281,0.1375524011407619,0.14538626783674646,1.0438903212776054,0.1769056282050975,-0.13494111224210037,-0.1938973954048387,-0.19636156943596997,-0.18168686139982987,-0.16885108920781758,-0.15303624094831825,-0.1422968556186117,-0.1326976105122644,-0.122693799520209,-0.11364623516710005,-0.10610659820617595,-0.09499942570764383,-0.08352446604028617,-0.07175527663786804,-0.05678633886666747,-0.03876476759421471,-0.02077997503864451,-0.0012872550908894827,0.01496893777120056,0.029496530939810434,0.03751429122020779,0.14538626783674646
8,0.0,138.26,1025.36,20.62,889.43,1.216,1.0216292918833243,0.5798156687682976,0.3308425247748698,-0.03132039996471608,-0.25618386181293146,-0.33217373421847046,-0.36149732001778556,-0.3930026101830017,-0.39333541254390186,-0.3878996406491991,-0.3560245700829827,-0.3737370512908918,-0.3637529804638867,-0.35155022723088036,-0.2924593191510501,-0.2722323312163397,-0.23673341272032147,-0.21428774237960999,-0.20008817498120268,-0.19298839128199904,-0.19868300945740194,-0.058942995919430245,0.09544032149814898,0.13548753892646953,0.1447690269915743,1.036531442043632,0.1794174505652921,-0.13411935144276885,-0.19121344535719814,-0.19550289800880033,-0.18052679176829264,-0.16743656557288594,-0.15231254717197815,-0.1416628716231727,-0.13223347139766786,-0.12228637861076276,-0.11318978074615808,-0.10649675548805465,-0.09462680461594856,-0.08342245846564281,-0.07147855151333668,-0.05676129155352913,-0.03886392014511995,-0.020818636576310685,-0.0014051655238007212,0.014569347799407476,0.029064739518614918,0.036978040100018976,0.1447690269915743
9,1.0,137.55,1025.37,20.65,890.47,1.216,1.0487509847967884,0.36688070532162415,0.08240876633212166,-0.2374502477806013,-0.4199241467090565,-0.463823448936497,-0.4788034817880284,-0.49668287583663034,-0.47772551416347653,-0.47991862070997865,-0.4278416330549031,-0.44074007325212733,-0.42234028103994864,-0.4057247111028903,-0.34770031586408023,-0.3199333567075196,-0.29473121707144456,-0.27198238306365996,-0.25826617432367216,-0.2578572900522904,-0.22782288175443102,-0.0027506760074772225,0.06620208066644503,0.09515852133975256,0.10972966991990217,1.067671175172544,0.5700961881983535,0.14786742105059988,-0.0018213935725187012,-0.056463200748079735,-0.06991921040627912,-0.07664721523537882,-0.07586661799001367,-0.07341331236172316,-0.07088566413863599,-0.06620208066644503,-0.06222475184482256,-0.05835893691539512,-0.050552964461743545,-0.04174336697833677,-0.032487713926149894,-0.019998158000307374,-0.002862189899672245,0.014348120795759565,0.03471799177005035,0.05278324230564399,0.06858104369993885,0.07724195599375228,0.10972966991990217
10,2.0,138.91,1025.33,20.68,890.29,1.216,0.9983139878420552,0.12752185976084646,-0.1332263008179695,-0.41925801627577575,-0.5562750101833173,-0.5805648882330023,-0.5685671605902791,-0.5705177114033599,-0.5415170691258571,-0.5313226809140954,-0.4729165650582618,-0.47906264026174267,-0.4573857642446753,-0.44133972359367124,-0.3812038739979358,-0.3476396788747347,-0.3272140996056814,-0.3126033699303405,-0.3040283069218911,-0.3040283069218911,-0.07566665040932188,0.008059823171031854,0.0493158130099666,0.0872227439056872,0.13252704675290278,1.0108637581677258,0.8130116605993821,0.3567299817206017,0.14573926829811026,0.04957343292867538,0.01707652032583918,-0.005778046748182654,-0.014279504065572417,-0.01979993089504629,-0.023001778456141136,-0.02370103252120783,-0.024069060976506088,-0.024694709350513124,-0.020499184960112982,-0.015346786585937367,-0.009973571138582797,-0.0009568739837754714,0.012439361789081126,0.027086894309951804,0.045856345530162976,0.06447858536825483,0.08350565650717479,0.09668107520685243,0.13252704675290278
