  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
       1	 13:27:46	  -6.000	  138.91	 1025.16	   21.39	   0.454	  -5.439	  -0.087	   890.6	   1.213
       2	 13:29:20	  -4.000	  140.12	 1025.17	   21.52	   0.263	  -2.604	  -0.053	   890.1	   1.212
       3	 13:30:21	  -3.000	  140.68	 1025.12	   21.58	   0.220	  -1.542	  -0.033	   889.7	   1.212
       4	 13:30:34	  -2.000	  140.67	 1025.12	   21.59	   0.209	  -0.454	  -0.020	   889.7	   1.212
       5	 13:30:43	  -1.000	  137.44	 1025.16	   21.61	   0.208	   0.708	  -0.010	   890.2	   1.212
       6	 13:30:54	  -0.000	  139.51	 1025.15	   21.62	   0.228	   1.936	  -0.005	   889.9	   1.212
       7	 13:31:47	   1.000	  141.67	 1025.05	   21.66	   0.259	   3.785	   0.016	   890.1	   1.211
       8	 13:32:02	   2.000	  138.17	 1025.14	   21.68	   0.305	   5.075	   0.022	   889.3	   1.211
       9	 13:32:14	   3.000	  138.76	 1025.10	   21.69	   0.364	   6.378	   0.027	   890.3	   1.211
      10	 13:32:25	   4.000	  138.11	 1025.11	   21.70	   0.413	   7.633	   0.023	   889.9	   1.211
      11	 13:32:38	   5.000	  138.36	 1025.10	   21.71	   0.497	   9.005	   0.026	   890.2	   1.211
      12	 13:32:50	   6.000	  138.56	 1025.15	   21.71	   0.590	  10.396	   0.019	   889.5	   1.211
      13	 13:33:03	   7.000	  139.57	 1025.06	   21.71	   0.693	  11.787	   0.013	   890.2	   1.211
      14	 13:33:15	   8.000	  140.36	 1025.09	   21.72	   0.814	  13.051	   0.001	   890.4	   1.211
      15	 13:33:31	   9.000	  140.21	 1025.11	   21.73	   0.950	  14.303	  -0.015	   890.0	   1.211
      16	 13:33:43	  10.000	  140.08	 1025.11	   21.74	   1.106	  15.483	  -0.037	   889.9	   1.211
      17	 13:33:55	  11.000	  140.30	 1025.11	   21.74	   1.254	  16.089	  -0.061	   890.0	   1.211
      18	 13:34:05	  12.000	  140.53	 1025.13	   21.74	   1.431	  16.843	  -0.088	   890.2	   1.211
      19	 13:34:37	  12.500	  137.73	 1025.07	   21.77	   1.509	  17.028	  -0.100	   889.8	   1.211
      20	 13:34:54	  13.000	  137.53	 1025.17	   21.79	   1.588	  17.161	  -0.112	   890.0	   1.211
      21	 13:35:06	  13.500	  139.46	 1025.09	   21.80	   1.699	  17.447	  -0.125	   890.1	   1.211
      22	 13:35:15	  14.000	  137.05	 1025.09	   21.82	   1.810	  17.330	  -0.138	   889.8	   1.211
      23	 13:35:27	  14.500	  137.96	 1025.12	   21.82	   1.984	  17.265	  -0.146	   889.9	   1.211
      24	 13:35:38	  15.000	  139.37	 1025.10	   21.83	   2.215	  17.426	  -0.143	   889.8	   1.211
      25	 13:35:49	  15.500	  139.85	 1025.08	   21.84	   2.428	  17.135	  -0.145	   890.1	   1.211
      26	 13:36:02	  16.000	  138.89	 1025.11	   21.83	   4.125	  16.121	  -0.048	   890.4	   1.211
      27	 13:36:18	  16.500	  139.56	 1025.10	   21.84	   4.369	  15.541	  -0.047	   889.9	   1.211
      28	 13:36:32	  17.000	  136.05	 1025.16	   21.85	   4.408	  14.374	  -0.055	   889.8	   1.211
      29	 13:36:50	  17.500	  138.59	 1025.18	   21.86	   4.576	  14.096	  -0.079	   889.9	   1.211
      30	 13:37:46	  17.000	  139.14	 1025.12	   21.89	   4.453	  14.540	  -0.062	   889.9	   1.210
      31	 13:38:04	  16.500	  138.24	 1025.14	   21.88	   4.310	  15.269	  -0.054	   889.8	   1.210
      32	 13:38:17	  16.000	  136.79	 1025.12	   21.90	   4.062	  15.708	  -0.041	   890.0	   1.210
      33	 13:38:36	  15.500	  138.74	 1025.12	   21.92	   3.815	  16.698	  -0.045	   889.9	   1.210
      34	 13:38:55	  15.000	  137.41	 1025.11	   21.93	   2.200	  17.129	  -0.141	   890.1	   1.210
      35	 13:39:07	  14.500	  137.97	 1025.14	   21.93	   1.991	  17.270	  -0.139	   890.1	   1.210
      36	 13:39:19	  14.000	  138.31	 1025.17	   21.93	   1.818	  17.330	  -0.131	   889.8	   1.210
      37	 13:39:31	  13.500	  139.06	 1025.12	   21.94	   1.716	  17.527	  -0.124	   890.4	   1.210
      38	 13:39:42	  13.000	  139.04	 1025.12	   21.95	   1.609	  17.257	  -0.103	   889.9	   1.210
      39	 13:39:51	  12.500	  137.91	 1025.10	   21.95	   1.510	  16.980	  -0.089	   889.8	   1.210
      40	 13:40:01	  12.000	  139.58	 1025.05	   21.96	   1.440	  16.844	  -0.079	   890.2	   1.210
      41	 13:40:12	  11.500	  139.21	 1025.09	   21.96	   1.347	  16.422	  -0.061	   889.8	   1.210
      42	 13:40:21	  11.000	  140.66	 1025.08	   21.96	   1.285	  16.371	  -0.054	   889.7	   1.210
      43	 13:40:32	  10.500	  137.35	 1025.08	   21.96	   1.175	  15.598	  -0.037	   890.0	   1.210
      44	 13:40:42	  10.000	  139.61	 1025.10	   21.97	   1.109	  15.340	  -0.025	   889.7	   1.210
      45	 13:40:56	   9.500	  139.07	 1025.05	   21.98	   1.023	  14.685	  -0.014	   889.8	   1.210
      46	 13:41:05	   9.000	  139.25	 1025.08	   21.98	   0.952	  14.157	  -0.004	   890.0	   1.210
