,Alpha,Delta_Pb,P_bar,T,rpm,rho,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,q_inf,p_s
1,-6.0,138.73,1025.42,20.06,889.72,1.218,-0.7029675012649838,0.7022423307751252,0.9163109323255384,0.6175951319868048,0.301117054845273,0.12375224519444208,0.0025486592933145025,-0.04801118256022473,-0.10785752597876759,-0.1405813886361747,-0.13730163213104699,-0.18745611082098168,-0.2093825728493433,-0.2307194157306048,-0.19862202341701837,-0.19077271852282998,-0.16442411289207545,-0.14102360299639255,-0.11695977156016836,-0.0954386726955185,-0.07951895572703278,-0.06370979234860152,-0.045910664349189986,-0.04030928245281135,-0.008506699712560484,-0.6887060881474222,-2.3747588901333048,-2.367278097206108,-1.857515493445152,-0.9468487209345603,-0.791078712541713,-0.6858316948057918,-0.6048696156862036,-0.5467921297086393,-0.4964902462318223,-0.4523793637984841,-0.4157124230956225,-0.3834307747984332,-0.35004359060069934,-0.3187200734173869,-0.2900866935922093,-0.25957390273599856,-0.22773446879902715,-0.19397877263451657,-0.15860162381569518,-0.1230402190134854,-0.08596791514712653,-0.05180685581890418,-0.008506699712560484,205375.76,205376.66999999998,205376.81,205375.68,205375.77000000002,205376.53999999998,205377.53999999998,205376.65,205376.07,205376.45,205376.55,205375.82,205376.46000000002,205375.8,205375.53999999998,205376.64,205375.78999999998,205375.25,205376.27000000002,205377.38,205375.75,205367.44,205350.31,205323.95,205302.26,205296.35,205310.9,205337.65,205360.41999999998,205373.2,205374.94,205376.66999999998,205376.61,205373.71000000002,205376.4,205378.49,205377.56,205377.44,205376.22999999998,205378.22,205376.31,205377.66999999998,205376.71000000002,205375.24,205375.64,205377.65,205377.06,205377.05,205099.7,205096.46000000002,205097.53999999998,205097.69,205098.3,205098.49,205098.97,205099.71000000002,205100.21000000002,205100.14,205100.12,205095.33000000002,205085.58000000002,205083.97999999998,205083.83000000002,205083.78999999998,271.3616082847924,205105.6883917152
2,-5.0,140.15,1025.4,20.19,889.68,1.218,-0.38335297180714467,0.7439950825480914,0.8761372418198325,0.5267611050095233,0.2063811085859538,0.03896943012682484,-0.07347723756141446,-0.12019932037317839,-0.165134219689444,-0.19960132996035998,-0.19179607959217215,-0.2347979028826622,-0.25380040494737366,-0.26704015206724807,-0.23042112697519376,-0.22356417805354273,-0.19861655538122733,-0.1657542629430427,-0.13887356424484562,-0.11750030856352685,-0.1059383255414693,-0.0910572874561615,-0.07555620611736112,-0.0733313450311372,0.009717977812232707,-0.3754018289086796,-2.1118511970473657,-1.984961168864544,-1.1533737464536065,-0.8123864301325942,-0.6968395461765735,-0.6033953805530456,-0.5321268795270961,-0.48157511779627077,-0.43857329450588683,-0.40031297844850533,-0.3686178262522203,-0.3408617723725719,-0.3109538036718914,-0.28286949159919883,-0.25741124507096613,-0.2290351479378252,-0.19901775983946324,-0.16695787631753817,-0.13216250785347183,-0.09671062300331709,-0.059763339718112395,-0.024274981735361793,0.009717977812232707,205373.98000000004,205374.82000000004,205374.93000000002,205373.61000000004,205373.79000000004,205374.55000000005,205375.75000000003,205374.64,205374.40000000002,205374.43000000002,205374.56000000003,205373.99000000005,205374.47000000003,205373.74000000005,205373.80000000005,205374.83000000002,205374.02000000002,205373.47000000003,205374.18000000002,205375.36000000004,205372.54000000004,205360.50000000003,205339.62000000002,205316.09000000003,205308.03000000003,205324.73000000004,205348.56000000003,205365.34000000003,205372.62000000002,205374.57000000004,205373.22000000003,205374.71000000002,205374.17000000004,205370.80000000005,205373.77000000002,205375.60000000003,205374.91000000003,205374.75000000003,205373.51,205375.41000000003,205373.56000000003,205375.04000000004,205374.13000000003,205372.47000000003,205372.92000000004,205374.87000000002,205374.36000000004,205374.38000000003,205094.59000000003,205092.48000000004,205093.48000000004,205093.45,205093.88000000003,205092.42000000004,205094.23000000004,205095.29000000004,205095.43000000002,205095.19000000003,205095.10000000003,205091.50000000003,205080.73000000004,205079.98000000004,205079.84000000003,205079.81000000003,274.1744209393915,205100.20557906065
3,-4.0,140.2,1025.33,20.25,890.02,1.217,-0.0670371875506021,0.7494106953449196,0.796152363985685,0.4211252160616705,0.10078800804481201,-0.04935410698067223,-0.11253921755337627,-0.1902718521415903,-0.22935692919542397,-0.25414970195334036,-0.24477949224920398,-0.27908831455103916,-0.2910107214507841,-0.3035529476695247,-0.2644314106559311,-0.2502484862399302,-0.22323165592572997,-0.18739151530655088,-0.1602653051125404,-0.14101444626518836,-0.13127963696164902,-0.11840927110347758,-0.10608580464446365,-0.1011272500928167,0.026664909490549445,-0.05981811548291141,-1.9954773886004813,-1.3751840901724035,-0.994031668978695,-0.7719540529952599,-0.6456932117294499,-0.5250107443339641,-0.45318462325582354,-0.40750029345329486,-0.37268103171238043,-0.34551836155839777,-0.3222204471578532,-0.2997246518760588,-0.2756610783168422,-0.2514881248778154,-0.23001320847428566,-0.20507459587648075,-0.17754732612320126,-0.14790537869344822,-0.11476327510966011,-0.08056383268774132,-0.04381219307000176,-0.007862672571012396,0.026664909490549445,205359.03999999998,205359.86,205359.93,205358.83000000002,205358.93,205359.57,205360.89,205359.76,205359.41999999998,205359.57,205359.72,205358.88,205359.61,205358.91999999998,205358.93,205359.89,205359.01,205358.51,205359.25,205359.96000000002,205353.5,205335.16,205314.03,205305.15,205317.11,205339.47,205352.02000000002,205357.55,205359.32,205359.76,205358.36,205359.85,205359.96000000002,205353.37,205359.52000000002,205361.32,205360.77000000002,205360.44,205359.16,205361.18,205359.34,205360.69,205359.89,205358.14,205358.6,205360.6,205359.85,205360.1,205080.2,205078.99,205079.97,205079.78,205080.05,205080.3,205080.16999999998,205081.28999999998,205081.24,205080.9,205080.78999999998,205078.19,205066.66999999998,205065.97999999998,205065.86,205065.87,274.27347745189593,205085.8265225481
4,-3.0,140.79,1025.33,20.34,889.46,1.217,0.25174922750375,0.754213598748231,0.703785635478155,0.30863952156005897,0.0035303758998173817,-0.1114119795452888,-0.1948777013294004,-0.2549265503205387,-0.2939909768710844,-0.30455579854972065,-0.2915585265190206,-0.32735548244722706,-0.32797267134248265,-0.33592351652331087,-0.2884725820423199,-0.27289763874298184,-0.2435993188300726,-0.2079838890475047,-0.18318741754744589,-0.16605134939527819,-0.16125905914927924,-0.14978660674223893,-0.14179945633234636,-0.016364889666838228,0.02106580157253784,0.27734441404470295,-1.4014456864405382,-1.0784017575870235,-0.805894707690989,-0.6307945875673403,-0.5375990643746567,-0.46978089634832865,-0.4218216886594863,-0.3860247327311742,-0.3563996657561578,-0.3305866478403963,-0.30865828944201834,-0.29115916899846783,-0.26999322041213103,-0.2507877541989653,-0.23089248863241538,-0.20457119750869687,-0.17102516578691568,-0.13642628242005045,-0.10113759969980102,-0.06842658824808394,-0.03364617873558018,0.0004444314232223559,0.02106580157253784,205362.55,205363.28999999998,205363.35,205362.16999999998,205362.4,205363.0,205364.22,205363.1,205363.22999999998,205362.96000000002,205363.08000000002,205362.26,205363.12,205362.28999999998,205362.43,205363.22,205362.53999999998,205362.02000000002,205362.46000000002,205361.43,205349.74,205329.51,205318.35,205324.3,205339.08000000002,205354.59,205360.47,205362.38,205362.85,205363.26,205361.84,205363.26,205362.97999999998,205359.28999999998,205362.7,205364.46000000002,205363.89,205363.6,205362.16999999998,205364.22,205362.2,205363.77000000002,205363.15,205361.22999999998,205361.7,205363.71000000002,205363.27000000002,205362.97999999998,205081.06,205080.41999999998,205081.35,205081.06,205081.16999999998,205082.15,205081.47999999998,205082.12,205082.16999999998,205081.78,205081.66,205079.64,205067.31,205066.0,205065.89,205065.91,275.4424152646113,205087.53758473537
5,-2.0,138.13,1025.36,20.5,889.42,1.216,0.5798622955969834,0.7174776585580472,0.5842298622537075,0.1716428663080156,-0.09107737207207978,-0.2107783090854654,-0.2743671185440106,-0.32248437832057775,-0.34976316328619894,-0.36164442512341344,-0.34139816274039203,-0.3674555095733786,-0.3720451558904936,-0.37193411606013654,-0.31689537353111125,-0.30038745210010376,-0.2674456357915524,-0.2319869166638372,-0.21529392884911677,-0.19663923736647906,-0.19819379498996936,-0.19541779923362895,-0.13549330417352637,0.04342887564178806,0.02162805563538404,0.6015890890500315,-0.8523664482908485,-0.7917387009723567,-0.6316562790233928,-0.519728130127782,-0.45092044864730385,-0.4018778569519566,-0.365382766075212,-0.33773384834205716,-0.31445249726562646,-0.2933919427941819,-0.27566258323032433,-0.2605611663158799,-0.2422025810472044,-0.22502842063459333,-0.2085945257571572,-0.19090217947008528,-0.1722104747107696,-0.15451812842358997,-0.13697383524355303,-0.12039188725908193,-0.09481571302387827,-0.03037559820012431,0.02162805563538404,205362.45999999996,205363.24,205363.37999999998,205362.33999999997,205362.24999999997,205363.13999999996,205364.11999999997,205363.39999999997,205362.67999999996,205363.01999999996,205363.16999999998,205362.37999999998,205363.06999999998,205362.3,205362.24999999997,205363.31999999998,205362.50999999995,205361.84999999998,205362.84999999998,205363.42999999996,205358.24999999997,205345.24999999997,205330.36999999997,205325.02999999997,205331.88999999996,205346.3,205355.76999999996,205360.94999999995,205362.62999999998,205363.16999999998,205361.86999999997,205363.26999999996,205363.09999999998,205360.97999999998,205363.12999999998,205365.03999999998,205364.09999999998,205363.74999999997,205362.75999999995,205364.8,205363.00999999995,205364.41999999998,205363.19999999995,205361.74999999997,205362.13999999996,205364.27999999997,205363.49,205363.70999999996,205086.26999999996,205086.05,205086.88999999996,205086.53999999998,205086.63999999996,205087.22999999998,205086.82999999996,205087.47999999998,205087.50999999995,205087.02999999997,205086.87999999998,205085.38999999996,205072.64999999997,205071.97999999998,205071.92999999996,205071.89999999997,270.173323675654,205093.53667632432
6,-1.0,138.27,1025.34,20.55,890.11,1.216,0.8180813649309471,0.6327609992874182,0.4342774153339136,0.030432835613476397,-0.20657904462888166,-0.31288312508083593,-0.358621611174515,-0.39726083346046515,-0.40783577850721986,-0.4149350423148412,-0.38653798708446346,-0.4104980024350644,-0.40735509918689816,-0.4022155279929292,-0.3469374061578699,-0.33148171724348985,-0.2918441609844232,-0.25997142451501964,-0.2472888855254732,-0.23641813782011692,-0.23431054387721756,-0.23312733324270368,-0.025288990209539033,0.0672232912829784,0.02004276722844182,0.8404144656588627,-0.34290709493379135,-0.4981665153921068,-0.4504683366849906,-0.39988608205605175,-0.3551089546030161,-0.32841276465994707,-0.3010510187349439,-0.28189779658745234,-0.26599840368500854,-0.24987715878869426,-0.23682486647581513,-0.22558436544712618,-0.2104984298559712,-0.19607805024696567,-0.18210137462570106,-0.1656843270706776,-0.14686388291426083,-0.12889387140128322,-0.11048015590034943,-0.09509841765070048,-0.08138056935577952,-0.06784759772257869,0.02004276722844182,205359.43999999997,205360.28999999998,205360.36,205359.24,205359.19999999995,205359.90999999997,205361.24,205360.25999999995,205359.64999999997,205360.01999999996,205360.11,205359.36999999997,205360.17999999996,205359.40999999997,205359.36999999997,205360.27999999997,205359.34999999998,205358.72999999998,205359.45999999996,205359.64999999997,205355.17999999996,205342.86999999997,205328.99999999997,205324.36999999997,205331.61999999997,205344.72999999998,205352.05999999997,205356.83999999997,205359.36999999997,205360.11,205358.72999999998,205359.95999999996,205359.62999999998,205354.74999999997,205359.51999999996,205361.37999999998,205360.69999999995,205360.30999999997,205359.22999999998,205361.37999999998,205359.51999999996,205360.69999999995,205359.80999999997,205358.26999999996,205358.67999999996,205360.77999999997,205359.88999999996,205360.11999999997,205081.42999999996,205081.77999999997,205082.64999999997,205082.18999999997,205082.19999999995,205082.55999999997,205079.47999999998,205082.94999999995,205082.84999999998,205082.26999999996,205082.13999999996,205081.26999999996,205068.21999999997,205067.99,205067.91999999998,205067.89999999997,270.4505779812845,205089.6694220187
7,0.0,139.0,1025.31,20.58,890.3,1.216,0.9493924855697051,0.49061477117662067,0.2518473411750157,-0.11042302011816729,-0.3408416813872563,-0.41256017930824174,-0.44279228458581465,-0.4769597125696327,-0.47184747092290596,-0.47059699454901893,-0.4379374939572915,-0.4567314182842266,-0.4452932373338028,-0.4333769330638887,-0.3764434793296525,-0.35525893840526557,-0.31914223842667633,-0.2967807785620219,-0.2817382833570691,-0.2746399909986543,-0.280120019814228,-0.13142366745797013,0.01664744671113017,0.056625911962452126,0.06445977865845381,0.9629638320993771,0.09597913902683056,-0.2158676014203973,-0.27482388458313134,-0.2772880586143097,-0.2626133505780968,-0.2497775783861188,-0.23396273012655522,-0.2232233447969086,-0.21362409969061272,-0.20362028869844598,-0.19457272434536702,-0.1870330873844857,-0.17592591488599213,-0.16445095521865158,-0.15268176581619064,-0.1377128280449644,-0.119691256772426,-0.10170646421691146,-0.08221374426919924,-0.06595755140706211,-0.05142995823840941,-0.04341219795803775,0.06445977865845381,205354.91,205355.93,205356.07,205354.71000000002,205354.8,205355.68,205356.89,205355.78999999998,205355.3,205355.43,205355.65,205355.03999999998,205355.85,205354.97,205354.95,205355.71000000002,205354.99,205354.24,205355.03999999998,205355.41999999998,205350.57,205340.46000000002,205328.03,205318.78,205320.91999999998,205331.81,205340.94,205348.68,205353.61,205355.47999999998,205354.39,205355.7,205355.41,205349.62,205355.26,205357.27000000002,205356.43,205356.27000000002,205354.99,205356.93,205355.11,205356.53,205355.53999999998,205354.13,205354.6,205356.5,205355.7,205355.9,205075.52000000002,205076.45,205077.27000000002,205076.72,205076.61,205077.3,205076.24,205077.25,205077.07,205076.43,205076.27000000002,205076.02000000002,205062.43,205061.97999999998,205061.91,205061.91,271.8963805053999,205084.0036194946
8,0.0,138.26,1025.36,20.62,889.43,1.216,0.9493400850628894,0.5075264619479315,0.2585533179544434,-0.10360960678515103,-0.32847306863335785,-0.4044629410388538,-0.433786526838143,-0.46529181700342803,-0.4656246193643153,-0.4601888474696082,-0.42831377690340905,-0.4460262581113483,-0.4360421872843001,-0.4238394340513369,-0.36474852597146784,-0.3445215380367531,-0.3090226195407134,-0.28657694919997606,-0.2723773818016893,-0.2652775981024383,-0.2709722162778714,-0.13123220273986952,0.023151114677709715,0.06319833210598291,0.07247982017112212,0.9642422352231926,0.10712824374482267,-0.20640855826316074,-0.26350265217759866,-0.2677921048292138,-0.25281599858874915,-0.23972577239331228,-0.22460175399241744,-0.21395207844359473,-0.20452267821802533,-0.19457558543121925,-0.18547898756664472,-0.17878596230854987,-0.1669160114363663,-0.15571166528606487,-0.14376775833372,-0.1290504983739813,-0.11115312696547741,-0.09310784339675855,-0.0736943723442486,-0.05771985902101456,-0.04322446730175977,-0.03531116672041167,0.07247982017112212,205361.27999999997,205362.11999999997,205362.18999999997,205361.14999999997,205361.03999999998,205361.91999999998,205362.93999999997,205362.32999999996,205361.30999999997,205361.92999999996,205362.09999999998,205361.36999999997,205362.24,205361.36,205361.17999999996,205362.11,205361.37999999998,205360.59999999998,205361.8,205362.31999999998,205356.92999999996,205347.3,205334.30999999997,205325.17999999996,205327.80999999997,205339.3,205348.05,205355.28999999998,205360.13999999996,205361.71999999997,205360.37999999998,205361.86,205361.45999999996,205358.57999999996,205361.62999999998,205363.49999999997,205362.44999999995,205362.21999999997,205361.24,205363.19999999995,205361.55,205362.89999999997,205361.62999999998,205360.43999999997,205360.8,205362.84999999998,205362.00999999995,205361.97999999998,205085.22999999998,205086.18999999997,205086.97999999998,205086.45999999996,205086.36999999997,205087.05,205085.99999999997,205087.02999999997,205086.74999999997,205086.11,205085.97999999998,205085.76999999996,205072.12999999998,205072.00999999995,205071.89999999997,205071.89999999997,270.4307738579922,205091.549226142
9,1.0,137.55,1025.37,20.65,890.47,1.216,0.9662484619622241,0.2843781824870511,-9.375650233884286e-05,-0.3199527706151267,-0.502426669543569,-0.5463259717710008,-0.5613060046225278,-0.5791853986711211,-0.5602280369979457,-0.562421143544543,-0.5103441558894328,-0.5232425960866615,-0.5048428038744395,-0.48822723393737677,-0.43020283869861864,-0.4024358795420537,-0.3772337399059829,-0.35448490589821563,-0.3407686971582192,-0.3403598128867812,-0.3103254045889694,-0.08525319884205888,-0.016300442168071704,0.012655998505266101,0.02722714708535513,0.9851686523380748,0.4875936653638281,0.06536489821608746,-0.08432391640710035,-0.13896572358259648,-0.15242173324077857,-0.1591497380698696,-0.15836914082453474,-0.15591583519623126,-0.15338818697317003,-0.14870460350094447,-0.14472727467940422,-0.1408614597498383,-0.13305548729627328,-0.1242458898128838,-0.11499023676073156,-0.10250068083483277,-0.0853647127341414,-0.06815440203869227,-0.047784531064470726,-0.029719280528929005,-0.013921479134634146,-0.005260566840760148,0.02722714708535513,205364.68999999997,205365.50999999995,205365.74999999997,205364.67999999996,205364.63999999996,205365.39999999997,205366.50999999995,205365.61999999997,205365.00999999995,205365.37999999998,205365.44999999995,205364.66999999998,205365.47999999998,205364.65999999997,205364.86999999997,205365.62999999998,205364.61999999997,205364.15999999997,205365.24999999997,205366.38999999996,205361.90999999997,205345.74999999997,205327.93999999997,205322.37999999998,205331.36999999997,205348.81999999998,205359.75999999995,205363.93999999997,205365.14999999997,205365.45999999996,205363.99999999997,205365.53999999998,205364.58999999997,205361.82999999996,205364.36,205366.3,205365.55999999997,205365.32999999996,205364.09999999998,205366.14999999997,205364.43999999997,205365.78999999998,205364.65999999997,205363.24,205363.67999999996,205365.74,205364.91999999998,205365.21999999997,205086.99999999997,205089.18999999997,205089.96999999997,205089.21999999997,205088.90999999997,205089.52999999997,205089.44999999995,205089.24999999997,205088.80999999997,205088.02999999997,205087.84999999998,205088.96999999997,205074.45999999996,205073.99999999997,205073.91999999998,205073.88999999996,269.02477717784353,205096.19522282213
10,2.0,138.91,1025.33,20.68,890.29,1.216,0.9254006321110432,0.05460850402977871,-0.20613965654905864,-0.4921713720067621,-0.6291883659143421,-0.6534782439640486,-0.6414805163212911,-0.6434310671344747,-0.6144304248569549,-0.6042360366451246,-0.5458299207893081,-0.5519759959927291,-0.5302991199757173,-0.5142530793246576,-0.45411722972904217,-0.42055303460585813,-0.40012745533674055,-0.38551672566139544,-0.37694166265288603,-0.37694166265288603,-0.14858000614035966,-0.06485353256000591,-0.02359754272110116,0.0143093881746837,0.059613691021890715,0.9379504024366194,0.7400983048683487,0.2838166259895296,0.07282591256708533,-0.023339922802366672,-0.055836835405155744,-0.0786914024792547,-0.0871928597966359,-0.09271328662610977,-0.09591513418718747,-0.09661438825226273,-0.0969824167074753,-0.09760806508163658,-0.09341254069118503,-0.08826014231692372,-0.08288692686970625,-0.07387022971485609,-0.06047399394194807,-0.04582646142114594,-0.027057010200806246,-0.00843477036272295,0.010592300776137018,0.02376771947587464,0.059613691021890715,205356.87,205357.83000000002,205357.85,205356.63,205356.62,205357.61,205358.78,205357.85,205357.07,205357.4,205357.7,205357.01,205357.75,205356.95,205357.03,205357.78,205356.91999999998,205356.14,205357.28999999998,205358.72,205356.4,205341.46000000002,205320.32,205312.78999999998,205321.9,205340.49,205351.86,205356.31,205357.2,205357.59,205356.06,205357.59,205356.91,205353.02000000002,205357.07,205358.97,205358.07,205357.76,205356.69,205358.53,205356.91999999998,205358.22999999998,205357.08000000002,205355.72,205356.24,205358.28,205357.43,205357.53,205078.36,205081.2,205081.95,205081.13,205080.66999999998,205081.21000000002,205081.33000000002,205080.84,205080.34,205079.43,205079.28,205081.1,205066.35,205066.01,205065.91999999998,205065.91999999998,271.71812005394486,205085.81187994606
