,0
P050_v,-4.823082777521468
P051_v,-5.578731417906152
P052_v,-5.6950923672344205
P053_v,-4.756710062841974
P054_v,-4.831380026277326
P055_v,-5.470707552563792
P056_v,-6.302293754855781
P057_v,-5.562110757456683
P058_v,-5.080365581206254
P059_v,-5.395936243014717
P060_v,-5.479016205468079
P061_v,-4.872868467570936
P062_v,-5.404243582506546
P063_v,-4.8562726515823025
P064_v,-4.640580388366942
P065_v,-5.553800645953096
P066_v,-4.847974963315648
P067_v,-4.400117551207442
P068_v,-5.246429101371492
P069_v,-6.1691422390088135
P070_v,-4.814785675285197
P071_v,2.028679473476833
P072_v,15.795605589397193
P073_v,35.98958252968682
P074_v,51.57165161306902
P075_v,55.63453589360861
P076_v,45.486721938308605
P077_v,25.65335054919244
P078_v,7.727451301038651
P079_v,-2.7038292982754326
P080_v,-4.143207715109199
P081_v,-5.578731417906152
P082_v,-5.528871186420823
P083_v,-3.125251977764663
P084_v,-5.3544017353246565
P085_v,-7.09364494157679
P086_v,-6.318940307142513
P087_v,-6.2190697018382295
P088_v,-5.2132117196036285
P089_v,-6.868601772741189
P090_v,-5.279648820996067
P091_v,-6.41050671797186
P092_v,-5.611974488353155
P093_v,-4.391827931993234
P094_v,-4.723527223238297
P095_v,-6.393856974172447
P096_v,-5.902950787042123
